Season,Team,Wins,Losses,Team PS/G,Team PA/G,Conference Standing,Champions
2018-19,MIL,60,22,118.1,109.3,1,No
2017-18,HOU,65,17,112.4,103.9,1,No
2016-17,OKC,47,35,106.6,105.8,6,No
2015-16,GSW,73,9,114.9,104.1,1,No
2014-15,GSW,67,15,110,99.9,1,Yes
2013-14,OKC,59,23,106.2,99.8,2,No
2012-13,MIA,66,16,102.9,95,1,Yes
2011-12,MIA,46,20,98.5,92.5,2,Yes
2010-11,CHI,62,20,98.6,91.3,1,No
2009-10,CLE,61,21,102.1,95.6,1,No
2008-09,CLE,66,16,100.3,91.4,1,No
2007-08,LAL,57,25,108.6,101.3,1,No
2006-07,DAL,67,15,100,92.8,1,No
2005-06,PHO,54,28,108.4,102.8,2,No
2004-05,PHO,62,20,110.4,103.3,1,No
2003-04,MIN,58,24,94.5,89.1,1,No
2002-03,SAS,60,22,95.8,90.4,1,Yes
2001-02,SAS,58,24,96.7,90.5,2,No
2000-01,PHI,56,26,94.7,90.4,1,No
1999-00,LAL,67,15,100.8,92.3,1,Yes
1998-99,UTA,37,13,93.3,86.8,2,No
1997-98,CHI,62,20,96.7,89.6,1,Yes
1996-97,UTA,64,18,103.1,94.3,1,No
1995-96,CHI,72,10,105.2,92.9,1,Yes
1994-95,SAS,62,20,106.6,100.6,1,No
1993-94,HOU,58,24,101.1,96.8,2,Yes
1992-93,PHO,62,20,113.4,106.7,1,No
1991-92,CHI,67,15,109.9,99.5,1,Yes
1990-91,CHI,61,21,110,101,1,Yes
1989-90,LAL,63,19,110.7,103.9,1,No
1988-89,LAL,57,25,114.7,107.5,1,No
1987-88,CHI,50,32,105,101.6,3,No
1986-87,LAL,65,17,117.8,108.5,1,Yes
1985-86,BOS,67,15,114.1,104.7,1,Yes
1984-85,BOS,63,19,114.8,108.1,1,No
1983-84,BOS,62,20,112.1,105.6,1,Yes
1982-83,PHI,65,17,112.1,104.4,1,Yes
1981-82,HOU,46,36,105.9,105.9,6,No
1980-81,PHI,60,22,111.7,103.8,3,No
1979-80,LAL,60,22,115.1,109.2,1,Yes
1978-79,HOU,47,35,113.4,112.4,4,No
1977-78,POR,58,24,107.7,101.5,1,No
1976-77,LAL,53,29,106.9,104.1,1,No
1975-76,LAL,40,42,106.9,106.8,6,No
1974-75,BUF,49,33,107.8,105.6,3,No
1973-74,MIL,59,23,107.1,99,1,No
1972-73,BOS,68,14,112.7,104.5,1,No
1971-72,MIL,63,19,114.6,103.5,2,No
1970-71,MIL,66,16,118.4,106.2,1,Yes
1969-70,NYK,60,20,115,105.9,1,Yes