Season,MVP,Age,MP,PPG,FG%
2018-19,Giannis Antetokounmpo,24,32.8,27.7,0.578
2017-18,James Harden,28,35.4,30.4,0.449
2016-17,Russell Westbrook,28,34.6,31.6,0.425
2015-16,Stephen Curry,27,34.2,30.1,0.504
2014-15,Stephen Curry,26,32.7,23.8,0.487
2013-14,Kevin Durant,25,38.5,32,0.503
2012-13,LeBron James,28,37.9,26.8,0.565
2011-12,LeBron James,27,37.5,27.1,0.531
2010-11,Derrick Rose,22,37.4,25,0.445
2009-10,LeBron James,25,39,29.7,0.503
2008-09,LeBron James,24,37.7,28.4,0.489
2007-08,Kobe Bryant,29,38.9,28.3,0.459
2006-07,Dirk Nowitzki,28,36.2,24.6,0.502
2005-06,Steve Nash,31,35.4,18.8,0.512
2004-05,Steve Nash,30,34.3,15.5,0.502
2003-04,Kevin Garnett,27,39.4,24.2,0.499
2002-03,Tim Duncan,26,39.3,23.3,0.513
2001-02,Tim Duncan,25,40.6,25.5,0.508
2000-01,Allen Iverson,25,42,31.1,0.42
1999-00,Shaquille O'Neal,27,40,29.7,0.574
1998-99,Karl Malone,35,37.4,23.8,0.493
1997-98,Michael Jordan,34,38.8,28.7,0.465
1996-97,Karl Malone,33,36.6,27.4,0.55
1995-96,Michael Jordan,32,37.7,30.4,0.495
1994-95,David Robinson,29,38,27.6,0.53
1993-94,Hakeem Olajuwon,31,41,27.3,0.528
1992-93,Charles Barkley,29,37.6,25.6,0.52
1991-92,Michael Jordan,28,38.8,30.1,0.519
1990-91,Michael Jordan,27,37,31.5,0.539
1989-90,Magic Johnson,30,37.2,22.3,0.48
1988-89,Magic Johnson,29,37.5,22.5,0.509
1987-88,Michael Jordan,24,40.4,35,0.535
1986-87,Magic Johnson,27,36.3,23.9,0.522
1985-86,Larry Bird,29,38,25.8,0.496
1984-85,Larry Bird,28,39.5,28.7,0.522
1983-84,Larry Bird,27,38.3,24.2,0.492
1982-83,Moses Malone,27,37.5,24.5,0.501
1981-82,Moses Malone,26,42,31.1,0.519
1980-81,Julius Erving,30,35,24.6,0.521
1979-80,Kareem Abdul-Jabbar,32,38.3,24.8,0.604
1978-79,Moses Malone,23,41.3,24.8,0.54
1977-78,Bill Walton,25,33.3,18.9,0.522
1976-77,Kareem Abdul-Jabbar,29,36.8,26.2,0.579
1975-76,Kareem Abdul-Jabbar,28,41.2,27.7,0.529
1974-75,Bob McAdoo,23,43.2,34.5,0.512
1973-74,Kareem Abdul-Jabbar,26,43.8,27,0.539
1972-73,Dave Cowens,24,41.8,20.5,0.452
1971-72,Kareem Abdul-Jabbar,24,44.2,34.8,0.574
1970-71,Kareem Abdul-Jabbar,23,40.1,31.7,0.577
1969-70,Willis Reed,27,38.1,21.7,0.507